user,id,Date&Time,text
REDBOXINDIA,1881351028702134642,2025-01-20T14:40:13.000Z,"Check out all fundamental and technical screeners, market data all in one app 

Download the app today 

Android: https://play.google.com/store/apps/details?id=com.RedboxGlobal.India&pcampaignid=web_share…

Apple: https://apps.apple.com/in/app/redboxglobal-india/id6450499781…"
REDBOXINDIA,1881319783209357600,2025-01-20T12:36:04.000Z,FII/DII Activity
REDBOXINDIA,1881349096155537622,2025-01-20T14:32:32.000Z,OBEROI REALTY: CO APPROVED SCHEME OF AMALGAMATION OF NIRMAL LIFESTYLE REALTY WITH OBEROI REALTY
REDBOXINDIA,1881247951244411008,2025-01-20T07:50:38.000Z,"NEWGEN SOFTWARE: Q3 EBIT 997M RUPEES VS 750M (QOQ) || Q3 EBIT MARGIN 26.15% VS 20.77% (QOQ)

BEAT EBIT AND MARGINS"
REDBOXINDIA,1881233459324280904,2025-01-20T06:53:02.000Z,KRYSTAL INTEGRATED: Q3 CONS NET PROFIT 106M RUPEES VS 90M (YOY)
REDBOXINDIA,1881301659462377656,2025-01-20T11:24:03.000Z,"SUNTECK REALTY: Q3 CONS NET PROFIT 425.2M RUPEES VS LOSS 97M (YOY); PROFIT 346.3M (QOQ)

SUNTECK REALTY: Q3 REVENUE 1.62B RUPEES VS 424M (YOY)

SUNTECK REALTY: Q3 EBITDA 483.8M RUPEES VS -148M (YOY) || Q3 EBITDA MARGIN 29.91% VS -34.91% (YOY)"
REDBOXINDIA,1881219553109434521,2025-01-20T05:57:47.000Z,VIDHI SPECIALTY FOOD INGREDIENTS: Q3 EBITDA 190M RUPEES VS 144M (YOY)
REDBOXINDIA,1881234671729872975,2025-01-20T06:57:52.000Z,"MINISTRY OF COMMERCE & INDUSTRY - SAYS 24 COMPANIES SELECTED UNDER PLI SCHEME FOR WHITE GOODS (ACS AND LED LIGHTS) WITH COMMITTED INVESTMENT OF RS. 3,516 CRORE IN THIRD ROUND.

RAM RATNA WIRE: 250 CRS
KRN : 140 CRS
VOLTAS: 250 CRS"
REDBOXINDIA,1881299302750023761,2025-01-20T11:14:41.000Z,VODAFONE IDEA: CO ISSUES CLARIFICATION ON NEWS ARTICLE GOVT WEIGHS OVER 1 TRLN RUPEES AGR DUES WAIVER || CO SAYS DID NOT GET ANY COMMUNICATION FROM GOVT
REDBOXINDIA,1881239600586486167,2025-01-20T07:17:27.000Z,"CYIENT LTD: CO EXPANDS STRATEGIC PARTNERSHIP WITH DEUTSCHE AIRCRAFT, SECURES MULTI-YEAR DEAL FOR D328ECO® TECHNICAL PUBLICATION"
REDBOXINDIA,1881340970945626447,2025-01-20T14:00:15.000Z,"JAMMU & KASHMIR BANK: Q3 SL NET PROFIT 5.3B RUPEES VS 4.21B (YOY); 5.5B (QOQ)

JAMMU & KASHMIR BANK: Q3 REVENUE 32.06B RUPEES VS 28.81B (YOY)

JAMMU & KASHMIR BANK: Q3 GNPA 4.08% VS 3.95% (QOQ) || Q3 NNPA 0.94% VS 0.85% (QOQ)"
REDBOXINDIA,1881219088187560172,2025-01-20T05:55:56.000Z,"VIDHI SPECIALTY FOOD INGREDIENTS: Q3 CONS NET PROFIT 127M RUPEES VS 86M (YOY)

BETTER YOY AND QOQ"
REDBOXINDIA,1881239999548661956,2025-01-20T07:19:02.000Z,"MRPL: Q3 SL NET PROFIT 300 CRS RUPEES VS LOSS 680 CRS
 (QOQ)  EST: 100 CRS

BIG BEAT QOQ AND ESTIMATES"
REDBOXINDIA,1881354783417917619,2025-01-20T14:55:08.000Z,"MULTI COMMODITY EXCHANGE OF INDIA: Q3 CONS NET PROFIT 1.6B RUPEES VS LOSS 54M (YOY); 1.5B (QOQ)

MULTI COMMODITY EXCHANGE OF INDIA: Q3 REVENUE 3B RUPEES VS 2B (YOY)

MULTI COMMODITY EXCHANGE OF INDIA: Q3 EBITDA GAIN 1.9B RUPEES VS LOSS 178M (YOY) || Q3 EBITDA MARGIN 64.08%"
REDBOXINDIA,1881215424928555008,2025-01-20T05:41:23.000Z,"UNITED BREWERIES: CO RESUMES BEER SUPPLY TO TELANGANA BEVERAGES CORPORATION

#BREAKING"
REDBOXINDIA,1881255498319896928,2025-01-20T08:20:37.000Z,"KARUR VYSYA: Q3 SL NET PROFIT 5B RUPEES VS 4.1B (YOY)

KARUR VYSYA: Q3 GNPA 0.83% VS 1.58% (YOY) || Q3 NNPA 0.20% VS 0.42% (YOY)

BEAT YOY"
REDBOXINDIA,1881269734337052897,2025-01-20T09:17:11.000Z,"IDBI BANK: Q3 SL NET PROFIT 19.1B RUPEES VS 14.6B (YOY)

IDBI BANK: Q3 Q3 GNPA 3.57% VS 3.68% (QOQ) || Q3 NNPA 0.18% VS 0.20% (QOQ)

BIG BEAT YOY"
REDBOXINDIA,1881264809511166051,2025-01-20T08:57:37.000Z,"CENTRAL BANK OF INDIA: Q3 SL NET PROFIT 9.6B RUPEES VS 7.2B (YOY)

CENTRAL BANK OF INDIA: Q3 GNPA 3.86% VS 4.59% (QOQ) || Q3 NNPA 0.59% VS 0.69% (QOQ)

BIG BEAT YOY"
REDBOXINDIA,1881323497768788228,2025-01-20T12:50:49.000Z,LANDMARK CARS: CO HAS RECEIVED A LETTER OF INTENT FROM JSW MG MOTOR INDIA (MGI) TO OPEN NEW MG SELECT DEALERSHIPS IN AHMEDABAD AND KOLKATA
REDBOXINDIA,1881340932785889383,2025-01-20T14:00:06.000Z,"AGI GREENPAC: Q3 SL NET PROFIT 905M RUPEES VS 671M (YOY); 721M (QOQ)

AGI GREENPAC: Q3 REVENUE 6.6B RUPEES VS 6.22B (YOY)

AGI GREENPAC: Q3 EBITDA 1.8B RUPEES VS 1.5B (YOY) || Q3 EBITDA MARGIN 28.07% VS 24.14% (YOY)"
REDBOXINDIA,1881298057347915929,2025-01-20T11:09:44.000Z,EASY TRIP PLANNERS: EASEMYTRIP AND PENANG CONVENTION & EXHIBITION BUREAU JOIN HANDS TO PROMOTE TOURISM
REDBOXINDIA,1881272813824417818,2025-01-20T09:29:25.000Z,INDOSTAR CAPITAL FINANCE: Q3 CONS NET PROFIT 277M RUPEES VS 169M (YOY)
REDBOXINDIA,1881212848703238364,2025-01-20T05:31:09.000Z,EKI ENERGY: CO SECURES SCIENCE-BASED TARGET INITIATIVE (SBTI) APPROVAL FOR ITS AMBITIOUS 2030 EMISSION REDUCTION GOALS
REDBOXINDIA,1881190451379585349,2025-01-20T04:02:09.000Z,"*MEGA ORDER WIN FOR LARSEN & TOUBRO*
Masdar Announces Preferred Contractors and Suppliers for World's First 24/7 Solar PV and Battery Storage Gigascale Project
PROJECT - combined solar and BESS project – largest in the world
Larsen & Toubro and POWERCHINA selected as preferred"
REDBOXINDIA,1881240359680041426,2025-01-20T07:20:28.000Z,"MRPL: Q3 EBITDA GAIN 10.3B RUPEES VS LOSS 4.74B (QOQ) || Q3 EBITDA MARGIN 4.03%

STELLAR SHOW"
REDBOXINDIA,1881322360344809482,2025-01-20T12:46:18.000Z,"REC: CO SAYS RAJASTHAN PART I POWER TRANSMISSION TRANSFERRED TO ADANI ENERGY SOLUTIONS || CO SAYS CONSIDERATION INCLUDES 150M RUPEES PROFESSIONAL FEE, REIMBURSEMENT OF EXPENSES"
REDBOXINDIA,1881270432697082291,2025-01-20T09:19:58.000Z,APL APOLLO TUBES: Q3 EBITDA 3.45B RUPEES VS 2.79B (YOY)
REDBOXINDIA,1881274647192428833,2025-01-20T09:36:42.000Z,"ZOMATO: Q3 CONS NET PROFIT 590M RUPEES VS 1.4B (YOY) ; EST 2.7B

MISSSES EST
POOR YOY"
REDBOXINDIA,1881225411142783208,2025-01-20T06:21:04.000Z,"WAAREE RENEWABLE TECH: CO RECEIVES A LETTER OF INTENT (LOI) FOR THE EXECUTION OF ENGINEERING, PROCUREMENT AND CONSTRUCTION (EPC) WORKS FOR GROUND MOUNT SOLAR POWER PROJECT OF 105 MWP (DC) CAPACITY ON TURNKEY BASIS  WORTH 277 CRS"
REDBOXINDIA,1881246261506183201,2025-01-20T07:43:55.000Z,"SUPREME INDUSTRIES: Q3 CONS NET PROFIT 1.9B RUPEES VS 2.56B (YOY)

EST: 2.6B

MISSES ESTIMATES POOR YOY"
REDBOXINDIA,1881224053966729430,2025-01-20T06:15:40.000Z,"NISUS FINANCE: CO EXPANDS IN GCC, ADDING USD 55 MILLION TO FUND AUM THROUGH STRATEGIC REAL ESTATE DEALS - SME || MCAP 1158 CR"
REDBOXINDIA,1881246650586509498,2025-01-20T07:45:28.000Z,"SUPREME INDUSTRIES: Q3 EBITDA 3.08B RUPEES VS 3.79B (YOY) || Q3 EBITDA MARGIN 12.27% VS 15.47% (YOY)

POOR EBITDA AND MARGINS"
REDBOXINDIA,1881206527740236064,2025-01-20T05:06:01.000Z,ONE 97 COMMUNICATION: Q3 EBITDA LOSS 2.22B RUPEES VS LOSS 1.6B (YOY)
REDBOXINDIA,1881298408876740612,2025-01-20T11:11:08.000Z,TCS: CO OPENS NEW DELIVERY CENTRE IN FRANCE TO DRIVE AI-POWERED TRANSFORMATION FOR THE AEROSPACE AND DEFENCE INDUSTRIES
REDBOXINDIA,1881279618478674093,2025-01-20T09:56:28.000Z,"*VERY VERY WEAK COMMENTARY FROM ZOMATO*
Currently we are going through a broad-based slowdown in demand which started during the second half of November"
REDBOXINDIA,1881325783513522658,2025-01-20T12:59:54.000Z,"OBEROI REALTY: Q3 CONS NET PROFIT 6.1B RUPEES VS 3.6B (YOY); 5.9B (QOQ)

OBEROI REALTY: Q3 REVENUE 14B RUPEES VS 10.54B (YOY)

OBEROI REALTY: Q3 EBITDA 8.6B RUPEES VS 5.09B (YOY) || Q3 EBITDA MARGIN 60.67% VS 48.34% (YOY)

OBEROI REALTY: CO DECLARED DIVIDEND 2 RUPEES PER SHARE"
REDBOXINDIA,1881270249343037644,2025-01-20T09:19:14.000Z,"APL APOLLO TUBES: Q3 CONS NET PROFIT 2.17B RUPEES VS 1.65B (YOY)

BEAT YOY AND QOQ"
REDBOXINDIA,1881275455166386561,2025-01-20T09:39:55.000Z,ZOMATO: Q3 EBITDA 1.62B RUPEES VS EST: 2.6B || Q3 EBITDA MARGIN 3% VS EST: 5%
REDBOXINDIA,1881235309423436036,2025-01-20T07:00:24.000Z,"*POSITIVE READ THROUGH FOR PAYTM*
*Bernstein ON PAYTM POST Q3 RESULTS*
Solid quarter for Paytm in a rather gloomy operating environment
POSITIVES
1. Loan disbursals inching up (+6% QoQ)
2. Payment volumes benefiting from a festive boost (GMV up 13% QoQ)
3. Continued cost control"
REDBOXINDIA,1881340996572868793,2025-01-20T14:00:21.000Z,"L&T FINANCE HOLDINGS: Q3 CONS NET PROFIT 6.26B RUPEES VS 6.40B (YOY); EST 5.79B | 6.96B (QOQ)

L&T FINANCE HOLDINGS: Q3 REVENUE 40.98B RUPEES VS 35.34B (YOY)

L&T FINANCE HOLDING: Q3 GROSS STAGE 3 RATIO 3.23% VS 3.19% (QOQ) || Q3 NET STAGE 3 RATIO 0.97% VS 0.96% (QOQ)"
REDBOXINDIA,1881236992002015232,2025-01-20T07:07:05.000Z,"IOB: Q3 SL NET PROFIT 8.7B RUPEES VS 7.2B (YOY)

IOB: Q3 GNPA 2.55% VS 2.72% (QOQ) || Q3 NNPA 0.42% VS 0.47% (QOQ)

BEAT YOY"
REDBOXINDIA,1881345845133791582,2025-01-20T14:19:37.000Z,"CIPLA: CO SAYS USFDA INSPECTION AT MANUFACTURING FACILITY OF MEDISPRAY IN KUNDAIM, GOA || ON CONCLUSION OF INSPECTION, MEDISPRAY RECEIVED 1 (ONE) OBSERVATION IN FORM 483"
REDBOXINDIA,1881205715379065087,2025-01-20T05:02:48.000Z,PAYTM: Q3 CONS NET LOSS 2.1B VS LOSS 2.2B (YOY)
REDBOXINDIA,1881247598176338179,2025-01-20T07:49:13.000Z,"NEWGEN SOFTWARE: Q3 CONS NET PROFIT 890M RUPEES VS 703M (QOQ)

BETTER QOQ AND YOY"
REDBOXINDIA,1880512572673462656,2025-01-18T07:08:30.000Z,GLAND PHARMA: CO HAS RECEIVED ESTABLISHMENT INSPECTION REPORT (EIR) FROM THE US FDA INDICATING CLOSURE OF THE INSPECTION
REDBOXINDIA,1880521555689762907,2025-01-18T07:44:11.000Z,RBL BANK: Q3 SL NET PROFIT 326M RUPEES VS 2.3B (YOY) || Q3 INTEREST INCOME 35B RUPEES VS 32B (YOY) || Q3 PROVISIONS 11.8B VS 6.18B || Q3 GNPA 2.92% VS 2.88% NPA 0.53% VS 0.79%
REDBOXINDIA,1880493834972590482,2025-01-18T05:54:02.000Z,"BHARTI AIRTEL: GOVERNMENT IS CONSIDERING WAIVING 50% INTEREST AND 100% PENALTIES ON AGR DUES FOR TELECOM COMPANIES, POTENTIAL RELIEF OFFERING OVER 1 LAKH CRORE RUPEES"
REDBOXINDIA,1880538219906994287,2025-01-18T08:50:24.000Z,CONTROL PRINT: CO DECLARED DIVIDEND OF 4 RUPEES PER SHARE
REDBOXINDIA,1880509788431516115,2025-01-18T06:57:26.000Z,AVANTEL: Q3 EBITDA 320.4M RUPEES VS 244M || Q3 MARGIN 45.33% VS 41.20%
REDBOXINDIA,1880534634062311896,2025-01-18T08:36:10.000Z,GLENMARK LIFE SCIENCES: CO REBRANDS AS ALIVUS LIFE SCIENCES
REDBOXINDIA,1880493801300713685,2025-01-18T05:53:54.000Z,"VODAFONE IDEA: GOVERNMENT IS CONSIDERING WAIVING 50% INTEREST AND 100% PENALTIES ON AGR DUES FOR TELECOM COMPANIES, POTENTIAL RELIEF OFFERING OVER 1 LAKH CRORE RUPEES"
REDBOXINDIA,1880508571936518436,2025-01-18T06:52:36.000Z,AVANTEL: Q3 CONS NET PROFIT 201M RUPEES VS 163M (YOY) || Q3 REVENUE 707M RUPEES VS 593M (YOY)
REDBOXINDIA,1880529456026251758,2025-01-18T08:15:35.000Z,TD POWER SYSTEMS: CO WINS ORDER WORTH 570M RUPEES FROM NUCLEAR POWER CORPORATION OF INDIA (NPCIL) FOR THE SUPPLY OF INDUCTION MOTORS
REDBOXINDIA,1880585673297776741,2025-01-18T11:58:58.000Z,CHENNAI PETROLEUM: Q3 EBITDA 2.4B RUPEES VS LOSS 6.75B (QOQ) || Q3 MARGIN 1.54% VS -4.68% (QOQ)
REDBOXINDIA,1880529424275370223,2025-01-18T08:15:27.000Z,"ZYDUS LIFESCIENCES: CO RECEIVES APPROVAL FROM USFDA TO CONDUCT PHASE II(B) CLINICAL TRIAL FOR USNOFLAST, A NOVEL ORAL NLRP3 INFLAMMASOME INHIBITOR IN PATIENTS WITH AMYOTROPHIC LATERAL SCLEROSIS (ALS)"
REDBOXINDIA,1880559167922127238,2025-01-18T10:13:39.000Z,SIGACHI INDUSTRIES: Q3 EBITDA 332M RUPEES VS 226M (YOY) || Q3 MARGIN 23.79% VS 20.36% (YOY)
REDBOXINDIA,1880525067446284413,2025-01-18T07:58:09.000Z,KOTAK MAHINDRA BANK: Q3 GNPA 1.50% VS 1.49% (QOQ) || NPA 0.41% VS 0.43% (QOQ)
REDBOXINDIA,1880591773401231380,2025-01-18T12:23:13.000Z,CAN FIN HOMES: Q3 SL NET PROFIT 2.12B RUPEES VS 2B (YOY) || Q3 INTEREST INCOME 9.8B RUPEES VS 9B (YOY)
REDBOXINDIA,1880568130378023113,2025-01-18T10:49:16.000Z,HITACHI ENERGY: CO TO RAISE FUNDS WORTH 4200CR RUPEES VIA QIP
REDBOXINDIA,1880583679166259319,2025-01-18T11:51:03.000Z,CHENNAI PETROLEUM: Q3 SL NET PROFIT 105M RUPEES VS LOSS 6.3B (QOQ) || Q3 REVENUE 156B RUPEES VS 144B (QOQ)
REDBOXINDIA,1880554105128792574,2025-01-18T09:53:32.000Z,SIGACHI INDUSTRIES: Q3 CONS NET PROFIT 213.5M RUPEES VS 160M (YOY) || Q3 REVENUE 1.4B RUPEES VS 1.1B (YOY)
REDBOXINDIA,1880537360938799597,2025-01-18T08:47:00.000Z,"CONTROL PRINT: Q3 CONS NET PROFIT 83M RUPEES VS 134M (YOY) || Q3 REVENUE 1.03B VS 886M (YOY)

CONTROL PRINT: Q3 EBITDA 173M RUPEES VS 218M (YOY) || Q3 MARGIN 16.73% VS 24.63% (YOY)"
REDBOXINDIA,1880523380790882588,2025-01-18T07:51:27.000Z,KOTAK MAHINDRA BANK: Q3 SL NET PROFIT 33B RUPEES VS 30B (YOY) || Q3 INTEREST INCOME 134B RUPEES VS 118B (YOY)
REDBOXINDIA,1880171170454204767,2025-01-17T08:31:53.000Z,PONNI SUGARS: Q3 CONS NET PROFIT 24M RUPEES VS 117M (YOY) || Q3 REVENUE 1.15B RUPEES VS 1.24B (YOY)
REDBOXINDIA,1880184445816516981,2025-01-17T09:24:38.000Z,SBI LIFE INSURANCE: CO Q3 APE 69.4B VS 61.3B (YOY); EST 68.4B
REDBOXINDIA,1880167823605133420,2025-01-17T08:18:35.000Z,LANDMARK CARS: CO'S Q3 QUARTER UPDATE 16.5B VS 12.6B (YOY)
REDBOXINDIA,1880163008971935907,2025-01-17T07:59:27.000Z,"AMAL: Q3 EBITDA 204M RUPEES VS 61M (YOY) || Q3 EBITDA MARGIN 44.55% VS 23.46% (YOY)

BIG BEAT EBITDA AND MARGINS"
REDBOXINDIA,1880229301557293351,2025-01-17T12:22:53.000Z,"ICICI LOMBARD GENERAL INSURANCE: Q3 SL NET PROFIT 7.24B RUPEES VS 4.31B (YOY) 
 
ICICI LOMBARD GENERAL INSURANCE: Q3 REVENUE 50.45B RUPEES VS 43.05B (YOY) 
 
ICICI LOMBARD GENERAL INSURANCE: Q3 COMBINED RATIO AT 102.7% VS 103.6% (YOY)"
REDBOXINDIA,1880155098078408852,2025-01-17T07:28:01.000Z,"*GOOD COMMENTARY FROM AETHER POST GOOD RESULTS*

1. SSA with Baker Hughes order finalised, validation quantities manufactured, raw materials ordered and ramp-up from *Q4-FY25*
2. COMPANY SAYS Many more to come in future  
3. Site 2 operating at full capacity post the revocation"
REDBOXINDIA,1880162667165544898,2025-01-17T07:58:06.000Z,"AMAL: Q3 CONS NET PROFIT 165M RUPEES VS 23M (YOY)

BIG BEAT YOY AND QOQ"
REDBOXINDIA,1880227672653197507,2025-01-17T12:16:24.000Z,FII/DII Activity for the week and today
REDBOXINDIA,1880158406985822471,2025-01-17T07:41:10.000Z,"VINYL CHEMICALS: Q3 SL NET PROFIT 50M RUPEES VS 69M (YOY)

VINYL CHEMICALS: Q3 EBITDA 36.6M RUPEES VS 87M (YOY) || Q3 EBITDA MARGIN 2.50% VS 5.05% (YOY)

POOR YOY AND QOQ"
REDBOXINDIA,1880150366630867441,2025-01-17T07:09:13.000Z,KRN HEAT EXCHANGER: INVESTOR MUKUL AGRAWAL NAME APPEARS WITH 1.6% STAKE IN Q3
REDBOXINDIA,1880121423668396173,2025-01-17T05:14:13.000Z,"SURANA TELECOM: CO RECEIVED LOA FOR DEVELOPMENT OF 54 MW (AC) SOLAR POWER PROJECT WORTH 190 CR RUPEES 

 MCAP 340 CR"
REDBOXINDIA,1880111574154961373,2025-01-17T04:35:04.000Z,VEDANTA: CO'S SHAREHOLDING MEET WILL BE HELD ON FEB 18 FOR THE ANNOUNCEMENT OF THE DEMERGER
REDBOXINDIA,1880264334384984199,2025-01-17T14:42:05.000Z,"Check out events for tomorrow now on our app 

Download the app today 

Android: https://play.google.com/store/apps/details?id=com.RedboxGlobal.India&pcampaignid=web_share…

Apple: https://apps.apple.com/in/app/redboxglobal-india/id6450499781…"
REDBOXINDIA,1880213646279864430,2025-01-17T11:20:40.000Z,"WIPRO: CO SAYS Q3 ORDER BOOKINGS $3.51B || CO SEES Q4 IT SERVICES REV IN RANGE OF $2,602M TO $2,655M

WIPRO: CAPITAL ALLOCATION POLICY REVISED TO INCREASE PAYOUT PCT FROM 45%-50% TO 70% OR ABOVE OF NET INCOME CUMULATIVELY ON BLOCK OF 3-YEAR PERIOD

WIPRO: CO EXEC - CLIENTS"
REDBOXINDIA,1880195921016942873,2025-01-17T10:10:14.000Z,"SG FINSERV: CO'S Q3 LOAN BOOK STANDS AT 15.7B & TARGET LOAN BOOK OF 25B IN FY25, 40B IN FY26, 60B IN FY27 CAGR GROWTH OF 60% EST"
REDBOXINDIA,1880144048683643267,2025-01-17T06:44:07.000Z,"EXICOM IN FOCUS 

EXICOM: CO INTEGRATES THE POWER OF RENEWABLE ENERGY AND ADVANCED EV CHARGING; DEBUTS POWERFUL SOLUTIONS IN BHARAT MOBILITY 2025"
REDBOXINDIA,1880104687531069712,2025-01-17T04:07:42.000Z,"*POSITIVE TRIGGER FOR MGL* 
Bombay High Court has directed the state to form a panel to conduct a study to see whether diesel and petrol vehicles on city roads need to be phased out
BOMBAY HC ORDERS FEASIBILITY STUDY - to phase out diesel and petrol-diesel driven vehicles from"
REDBOXINDIA,1880100806554472474,2025-01-17T03:52:17.000Z,"*DOUBLE DOWNGRADE ON TRENT*

KOTAK INSTITUTIONAL EQUITIES DOUBLE DOWNGRADES TRENT S

Incremental revenue per store growth may be slow

Westside store additions have disappointed with two net store closures in 9MFY25 (based on Trent’s store locator)

Star store additions have also"
REDBOXINDIA,1880129547787727029,2025-01-17T05:46:29.000Z,BPCL: CO TO CONSIDER Q3 RESULTS & DIVIDEND ON JAN 22
REDBOXINDIA,1880210565093794250,2025-01-17T11:08:25.000Z,"WIPRO: Q3 CONS NET PROFIT 33.54B RUPEES VS 32.09B (QOQ)

WIPRO: Q3 REVENUE 223.19B RUPEES VS 223B (QOQ); EST 221.76B

WIPRO: Q3 EBIT 38.64B RUPEES VS 36.73B (QOQ); EST 36.53B || Q3 EBIT MARGIN 17.31% VS 16.47% (QOQ); EST 16.5%

WIPRO: CO DECLARED AN INTERIM DIVIDEND OF 6 RUPEES"
REDBOXINDIA,1880231731464384540,2025-01-17T12:32:32.000Z,TATA MOTORS: CO EXEC SAYS WILL CREATE NETWORK OF 500 CHARGERS ACROSS INDIA
REDBOXINDIA,1880111933447368876,2025-01-17T04:36:30.000Z,"BIG NEW FOR MAP MY INDIA (CE INFOSYSTEM) 

C.E. INFO SYSTEMS: QUALCOMM ENTERS STRATEGIC COLLABORATION WITH CO TO ACCELERATE ‘MAKE IN INDIA’ SOLUTIONS FOR AUTOMOTIVE"
REDBOXINDIA,1880180006133068179,2025-01-17T09:07:00.000Z,"SBI LIFE INSURANCE CO: Q3 SL NET PROFIT 5.5B RUPEES VS 3.22B (YOY)

BEAT YOY BEAT ESTIMATES"
REDBOXINDIA,1880149033915937123,2025-01-17T07:03:55.000Z,"AETHER INDUSTRIES: Q3 SL NET PROFIT 409M RUPEES VS 190M (YOY)

AETHER INDUSTRIES: Q3 EBITDA 597M RUPEES VS 313M (YOY) || Q3 EBITDA MARGIN 30.24% VS 20.17% (YOY) 

STELLAR SHOW 

BIG BEAT YOY AND QOQ"
